ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1,ロボットが北を向いています。\n「右向け右」を2回しました。\nどの方角を向いていますか？,北,南,東,西,B
2,"X = 1\nX = X + 2\nX = X + 3\n最後のXは？",1,3,5,6,D
3,「もし雨なら傘を持つ」\n「もし晴れなら帽子を持つ」\nくもりの場合はどうする？,傘,帽子,両方,何もしない,D
4,"配列 [10■ 20■ 30]\n左から2番目の数は？",10,20,30,40,B,40,B
5,"X = 10\nY = 20\nXとYの中身を入れ替えた。\nXはいくつ？",10,20,30,0,B
6,「前へ進む」を3回繰り返す。\nこのセットを2回繰り返す。\n合計何歩進む？,3歩,5歩,6歩,9歩,C
7,A君はB君より背が高い。\nB君はC君より背が高い。\n一番背が低いのは？,A君,B君,C君,不明,C
8,"X = 5\nもし X > 3 なら「当たり」\nそうでなければ「はずれ」",当たり,はずれ,エラー,不明,A
9,「右、左、右、左」\n元の場所に戻るには\nどう動けばいい？,同じ動き,逆の動き,右へ,左へ,B
10,"X = 0\nXが5になるまで1を足す。\n何回足し算をする？",4回,5回,6回,無限,B
11,リストに「リンゴ」を追加。\n次に「ミカン」を追加。\n最後に追加したのは？,リンゴ,ミカン,なし,両方,B
12,"X = 100\nもし X が 50 以下ならA\nそうでなければB",A,B,C,D,B
13,「点灯」の反対は「消灯」\n「消灯」の反対の反対は？,点灯,消灯,点滅,故障,B
15,「進む」命令のあとに\n「戻る」命令をしました。\n位置はどうなる？,進む,戻る,変わらない,不明,C
16,"X = 2\nY = X × X\nYの値は？",2,4,6,8,B
17,「朝」かつ「晴れ」なら洗濯。\n今は「朝」で「雨」です。\nどうする？,洗濯する,しない,寝る,干す,B
18,"X = 10\nX = X - 1\nこれを3回繰り返すと？",7,8,9,10,A
19,箱の中身が空っぽかどうか\n調べる命令はどれに近い？,isEmpty,isFull,Move,Print,A
20,「3回まわる」命令を\n実行しませんでした。\n何回まわった？,0,1,2,3,A
21,"X = 5\nもしXが偶数なら「〇」\n奇数なら「×」",〇,×,△,？,B
22,順番待ちの列。\n先頭の人から処理される\n仕組みを何と言う？,先入先出,後入先出,ランダム,逆順,A
23,数値を2倍にする関数f(x)\nf(4)の答えは？,4,6,8,16,C
24,"X = 「う」\nY = 「さ」\nZ = 「ぎ」\nX+Y+Zは？",うぎさ,さぎう,うさぎ,エラー,C
25,"変数HP = 100\nダメージを30受けた。\nHPの残りは？",30,70,100,130,B
26,「AまたはB」が正解。\nAは不正解でした。\n正解するには？,Bが必要,Bも駄目,Aが必要,無理,A
27,"10 ÷ 3 の「余り」は\nいくつ？",0,1,2,3,B
28,"リスト [赤■ 青■ 黄]\nここから「青」を消した。\n残りはいくつ？",1つ,2つ,3つ,0つ,B,0つ,B
29,"X = 1\nループ：Xを2倍にする\nXが10を超えたら停止。Xは？",8,10,12,16,D
30,「右を向いて歩く」\nこれを「左」に変えると\nどうなる？,右へ,左へ,前へ,後ろへ,B
31,"X = 10\nもし X が 10 以上なら A\n10 未満なら B",A,B,両方,なし,A
32,画像データの点は\n縦×横で並んでいる。\nこれを何と言う？,グリッド,リスト,ツリー,スタック,A
33,"A = True (真)\nNot A (Aでない) は\nどうなる？",True,False,Null,Error,B
34,迷路で行き止まりに\n当たりました。\nどうするのが賢い？,戻る,進む,壊す,止まる,A
35,"X = 5\nX = X + 1\nX = X - 1",4,5,6,0,B
36,「A」と「B」が同じか\n調べる記号はどれ？,==,=,+,>,A
37,"X = 3\nY = 4\nもしXがYより大きければA\nそうでなければB",A,B,エラー,不明,B
38,「Hello」という文字を\n画面に出したい。\nどの命令？,Input,Print,Read,If,B
40,"X = 10\nループの間、Xを1減らす\nXが0になった。停止する？",する,しない,エラー,不明,A
41,暗号「ABC」を\n1文字ずつ後ろにずらす。\nどうなる？,BCD,CDE,ABD,ZAB,A
42,"X = 0.5\n整数(Integer)型に\n入れられません。なぜ？",小数だから,負だから,文字だから,大きいから,A
43,「もし壁があるなら」\n条件が成り立つのはいつ？,壁あり,壁なし,床あり,空あり,A
44,「AかつB」が正しい。\nAは正しい。\nBはどう？,正しい,間違い,不明,不要,A
45,"X = 100\nXを2で割り続ける。\n1回割るといくつ？",20,50,100,200,B
46,プログラムの\n書き間違いを直す作業。\n何と言う？,デバッグ,コピー,ペースト,保存,A
47,「右へ90度」を\n4回繰り返しました。\n向きは？,元通り,後ろ,右,左,A
48,"X = 1■ Y = 1\nZ = X + Y\nもしZが2なら「正解」",正解,不正解,エラー,無視,A,A
49,ゴミ箱に入れたファイル。\n完全に消えた？,消えた,まだある,増えた,不明,B
50,スタートからゴールまで\n一番短い道を探すこと。\n何と言う？,最短経路,迷路作成,変数宣言,乱数,A
