ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1,Googleマップの渋滞情報は\n何を使って調べている？,カメラ,衛星,スマホ,警察,C
2,バーコードリーダーが\n読み取っている色は？,黒,白,赤,青,B
3,「バグ（不具合）」の\n語源になった虫は？,蚊,蛾,蜂,蟻,B
4,初代マリオの雲と草、\n実は何が同じ？,形,色,名前,音,A
5,セブンイレブンのロゴ、\n最後だけ小文字なのは？,7,E,L,N,D
6,Amazonの矢印、\n「A」からどこへ向かう？,B,M,X,Z,D
7,「Ctrl+Alt+Del」が\n押しにくい理由は？,誤操作防止,技術不足,嫌がらせ,偶然,A
8,機内モードにしないと\nスマホはどうなる？,爆発,電池減る,凍る,溶ける,B
9,スマホの振動機能\nモーターの仕組みは？,磁石,重心偏り,風,音波,B
10,Bluetoothの名前の\n由来になった人物は？,王様,学者,騎士,神様,A
11,マウスの移動距離を\n表す単位は？,ミッキー,ミニー,ドナルド,マリオ,A
12,世界最初のマウス、\n何でできていた？,鉄,木,氷,紙,B
13,QRコードの開発ヒント\nになったゲームは？,チェス,将棋,囲碁,麻雀,C
14,ポケモン金銀の容量不足\nを解決した人物は？,バイト,AI,ファン,社長,D
15,非常口のマークを\n作った国は？,日本,米,英,仏,A
16,「Wi-Fi」という言葉\nの本当の意味は？,無線,速い,技術,意味なし,D
17,Androidのコードネーム\nの由来になっていたのは？,車,お菓子,虫,星,B
18,パックマンの形の\nヒントになった食べ物は？,餅,飴,ピザ,豆,C
19,テトリスが生まれた\n国はどこ？,米,日本,中国,ソ連,D
20,任天堂が最初に\n販売したものは？,花札,玩具,薬,服,A
21,映画マトリックスの\n文字の正体は？,麺,米,寿司,パン,C
22,電子レンジ発明の\nきっかけで溶けたのは？,氷,チョコ,飴,バター,B
23,「クラウド」のデータは\nどこにある？,空,衛星,地上,海中,C
24,世界初のプログラマーは\nどんな人だった？,軍人,女性,子供,神父,B
25,キーボードが\n「QWERTY」配列な訳は？,遅く打つ,速く打つ,偶然,ミス,A
26,電卓と電話、\n数字の並びが違うのは？,特許,偶然,使い勝手,ミス,C
27,トランプのダイヤが\n表している階級は？,兵士,王族,商人,農民,C
28,世界で一番\n売れたゲーム機は？,DS,Switch,GB,PS2,D
29,「Google」の名前の\n由来は？,神話,数字,地名,人名,B
30,YouTubeで最初に\n投稿された動画は？,猫,料理,動物園,自己紹介,C
31,Twitterの鳥のロゴ\n名前は何だった？,ラリー,ポッポ,バード,ツイート,A
32,Instagramの\n最初のアイコンは？,自撮り,風景,猫,カメラ,D
33,「ロボット」という\n言葉の元の意味は？,友達,労働,機械,金属,B
34,世界初のWebサイトは\nどんな見た目？,画像のみ,動画あり,文字だけ,3D,C
35,CDの録音分数が\n74分だった理由は？,演説,映画,会議,第九,D
36,半導体の主な\n材料は何？,黒鉛,鉛,鉄,シリコン,D
37,「ピクセル」という\n言葉の意味は？,画素,点,色,光,A
38,「SIMカード」の\n主な役割は？,通信,身分証明,保存,計算,B
39,Windowsの「青い画面」\n通称は何？,海,空,死,氷,C
40,コンピュータの父と\n呼ばれる人物は？,ノイマン,エジソン,ベル,カリー,A
41,スマホに欠かせない\n金属の総称は？,軽金属,重金属,レアアース,合金,C
42,東京五輪のメダル\n材料は何から取った？,鉱山,家電,海水,寄付金,B
43,インターネットの\n主な通信経路は？,衛星,海底線,電波塔,電線,B
44,ファイル圧縮「zip」\n名前の由来は？,閉じる,チャック,速さ,音,C
45,ブラウザ「Firefox」\nモチーフの動物は？,狐,犬,猫,レッサーパンダ,D
46,インベーダーブームで\n不足した硬貨は？,10円,50円,500円,100円,D
47,迷惑メール「スパム」の\n名前の由来は？,虫,ゴミ,缶詰,悪魔,C
48,タッチパネルが\n反応しているものは？,熱,電気,圧力,油,B
49,「Wiki」という言葉の\nハワイ語の意味は？,遅い,速い,海,島,B
50,シャンプーの容器に\n刻みがある理由は？,滑り止め,区別,デザイン,不良品,B
51,新幹線の鼻の形の\nヒントになった鳥は？,ワシ,ハト,ツバメ,カワセミ,D
52,マジックテープの\nヒントになった植物は？,オナモミ,バラ,コケ,ツタ,A
53,電子レンジが温める\nものは何？,空気,水分,お皿,油,B
54,ＬＥＤ信号機が\n雪国で困る理由は？,眩しい,熱がない,凍る,点滅する,B
55,Appleのロゴが\nかじられている理由は？,虫食い,デザイン,Byte,味見,C
56,飛行機の「ブラック\nボックス」の色は？,黒,赤,白,オレンジ,D
57,海底ケーブルを\nかじってしまう魚は？,サメ,タイ,マグロ,エイ,A
58,「Canon」の\n名前の由来は？,大砲,観音様,可能,鐘の音,B
59,「SHARP」が最初に\n発明した文房具は？,ペン,鉛筆,消しゴム,定規,B
60,「SONY」という\n言葉の意味は？,音,息子,太陽,損得,A
61,「Adobe」という\n言葉の意味は？,日干し煉瓦,壁,窓,家,A
62,「Java」の名前の\n由来になった飲み物は？,お茶,コーヒー,水,酒,B
63,「Python」の名前の\n由来になった番組は？,ニュース,コメディ,ドラマ,アニメ,B
64,任天堂の名前の\n由来と言われる言葉は？,運を天に,天より高く,任せる,天国,A
65,トヨタ自動車は\n元々何を作る会社？,織機,ミシン,自転車,鍋,A
66,「ノキア」は元々\n何を作る会社だった？,紙とゴム,鉄,薬,家具,A
67,GPSに必要な\n衛星の最低数は？,1機,2機,3機,4機,D
68,「SOS」という信号\n元の意味は？,助けて,船,緊急,意味なし,D
69,ダイナマイトを\n作った人物は？,エジソン,ノーベル,テスラ,ベル,B
70,電話を発明したと\nされる人物は？,ベル,カリー,ワット,フォード,A
71,「メートル」という\n言葉の語源は？,測る,長さ,地面,足,A
72,「カメラ」という\n言葉の語源は？,箱,部屋,目,窓,B
73,「ステレオ」という\n言葉の語源は？,二つ,固い,音,耳,B
74,「アンテナ」という\n言葉の語源は？,触覚,帆,棒,耳,A
75,「キヤノン」のヤは\nどう表記する？,小文字,大文字,なし,英語,B
76,「富士通」の英語綴り\n正しいのは？,Fujitu,Fujitsu,Fuzitu,Fuzitsu,B
77,「ブリヂストン」の\n創業者の名字は？,橋本,石橋,大橋,小石,B
78,キーボードのFとJに\n突起がある理由は？,指置き場,製造ミス,飾り,点字,A
79,テレビが映る\n「三原色」の色は？,赤青黄,赤緑青,白黒赤,青黄緑,B
80,マウスのカーソルが\n左に傾いている訳は？,作画ミス,見やすく,速く動く,偶然,B
81,CDの真ん中の穴の\n大きさの基準は？,指,目玉,コイン,ボタン,C
82,USBのマークの\nモチーフは何？,槍,フォーク,三叉の矛,木,C
83,冬にスマホの電池が\n早く減る理由は？,寒いから,暗いから,乾燥,厚着,A
84,「Yahoo!」の\n元々の意味は？,野獣,歓喜,山びこ,神様,A
85,「アバター」という\n言葉の出身言語は？,英語,ギリシャ,梵語,ラテン,C
86,Facebookの色が\n青い理由は社長が…？,青好き,空好き,海好き,色覚特性,D
87,Windowsの起動音の\n作曲者は？,一般人,AI,社長,有名人,D
88,ネットの「炎上」\n英語では何と言う？,Fire,Burn,Flame,Hot,C
89,「コピペ」の\nペはどういう意味？,貼る,切る,保存,送る,A
90,Netflixは最初\n何の会社だった？,本屋,映画館,ピザ屋,DVD,D
91,QRコードの隅にある\n四角の数は？,2個,4個,3個,1個,C
92,メルカリの「メル」の\n語源は？,メール,見る,回る,市場,D
93,LINEの開発\nきっかけとなったのは？,震災,五輪,不況,結婚,A
94,プレステの○×ボタン\n海外での決定は？,○,□,△,×,D
95,「ハッカー」の\n本来の意味は？,悪人,技術通,泥棒,スパイ,B
96,「クッキー(Cookie)」\nネットでの役割は？,保存,監視,攻撃,装飾,A
97,「PDF」のDは\n何の略でしょう？,文書,画像,携帯,印刷,A
98,「バズる」の\n語源は？,蜂の音,爆発,バス,バグ,A
99,「ファイアウォール」\n防火壁の役割は？,熱対策,消火,攻撃防ぐ,換気,C
100,AIが描くのが\n苦手な体の部位は？,目,指,耳,鼻,B
