ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
1,帰還した戦闘機の\n機体の「翼」には\n多くの弾痕があった。\n装甲を強化すべき\n場所はどこ？,翼（弾が多い）,胴体（弾が多い）,弾痕がない場所,操縦席,C
2,3つのドア。\n1つは当たり。\nあなたが選んだ後\n司会者がハズレを\n1つ開けた。\n変えるべき？,変える,変えない,確率は同じ,変えると損,A
3,バットとボールで\n合計1100円。\nバットはボールより\n1000円高い。\nボールの値段は？,100円,50円,10円,150円,B
4,ある細菌は\n1分で2倍に増え\n1時間で瓶を一杯にする。\n「半分」になるのは\n開始から何分後？,30分後,59分後,15分後,45分後,B
5,行きは時速60km\n帰りは時速40kmで\n同じ道を往復した。\n往復の\n「平均時速」は？,48km,50km,52km,45km,A
6,「昨日までは17歳\nだったのに\n来年はもう20歳か」\n彼がこのセリフを\n言っているのはいつ？,1月1日,12月31日,2月29日,誕生日当日,A
7,コップに水が満杯。\n「飲む・こぼす・\n蒸発・道具の使用」\nを一切禁じて\n水を減らす方法は？,凍らせる,スポンジ,念力,待つ,C
8,正直村と嘘つき村。\n分かれ道で村人に\n「あなたの村は\nどっち？」と聞けば\n正直村に行ける？,行ける,行けない,逆へ行く,迷う,A
9,10階に住む男。\n雨の日以外は\nなぜか7階で降りて\n残りは階段を使う。\nその理由は？,健康志向,閉所恐怖症,背が低い,幽霊がいる,C
10,緊急救命室。\n外科医が叫んだ。\n「手術不可！\nこの患者は私の息子だ！」\nだが外科医は父ではない。,母親,祖父,幽霊,別人,A
11,計算のひっかけ。\n「30を半分で割って\n（÷0.5）\n10を足す」と\nいくつになる？,25,70,40,15,B
12,バスの運転手。\n始発で乗客ゼロ。\n最初のバス停で\n3人降りて5人乗った。\n運転手の年齢は？,35歳,計算不能,あなたの歳,0歳,C
13,遺産相続。\n「ラクダ17頭を\n長男1/2、次男1/3\n三男1/9で分けよ」。\nどう解決する？,1頭借りる,売る,殺す,無視する,A
14,工事現場。\n直径1m、深さ2mの\n穴を掘った。\nその穴の中の\n土の量は？,約1.5m3,3.14m3,0,半分,C
15,パラドックス。\n「クレタ人は皆\n嘘つきだ」と\nクレタ人が言った。\n真実は？,真実,嘘,パラドックス,無意味,C
16,誕生日の謎。\n同じ年の同じ日に\n同じ親から生まれた。\nでも双子じゃない。\nどういう関係？,嘘つき,三つ子,クローン,他人,B
17,暗闇の読書。\n停電した部屋で\n男は明かりもなく\n本を読み続けている。\nなぜ可能？,スマホ,点字,暗視鏡,超能力,B
18,スピード違反。\n制限40kmの道を\n100kmで走る男。\n警官は無視した。\nなぜ？,自転車,自分の足,緊急車両,ヘリ,B
